sector,mean_diff,ci_low,ci_high
health,-1486418.6022329845,-1685684.7980616656,-1302107.5931616141
educ,-12854.256160296578,-15063.313254237712,-10914.39495043858
pubwelf,-2348547.3292997424,-2716236.245760737,-2091396.8771470468
socserv,-106095.13026563256,-140397.21895352504,-87613.14694974083
econdev,-1300170.0661148606,-1547571.7403590004,-1154795.780413004
labor,-55.21329676987293,-84.6444679704471,-37.43133936977198
housing,-805.9878105132383,-1082.0781832343155,-578.4959830670558
gov,-6938159.535214995,-8797640.144675557,-6117172.273998388
totexp,-28037915.182136204,-33623474.58385238,-25036055.563363533
