LGU_clean,election_year,dynasty,ira_share,local_rev_pc,enc_gol,income_class,region,health_mn_percap,educ_mn_percap,pubwelf_mn_percap,socserv_mn_percap,econdev_mn_percap,labor_mn_percap,housing_mn_percap,gov_mn_percap,totexp_mn_percap
DAVAO ORIENTAL,1992.0,0,0.8985520005226135,6.093739032745361,2.406208276748657,3,Davao Region,0.0,0.0,92.43966608735002,0.0,78.40151622490697,0.0,0.0,67.44632220280916,323.5360555342117
DAVAO ORIENTAL,1995.0,1,0.883496880531311,15.36031436920166,1.5985519886016846,3,Davao Region,0.0,0.0,163.50223716529374,0.0,115.07492022620998,0.0,0.0,132.38327995811832,537.1554164858428
DAVAO ORIENTAL,1998.0,1,0.8421716690063477,45.3671989440918,1.882380485534668,3,Davao Region,60.23924278086112,8.067349783396349,296.55840285641625,8.388173933031174,182.6248476784532,0.0,1.4436891310036473,189.09077777881316,707.5707651286934
DAVAO ORIENTAL,2001.0,0,0.9220080971717834,21.06800079345703,1.9812471866607664,3,Davao Region,148.14246458632795,17.880003584012545,478.15294023804876,16.46822989151844,173.77899450504472,0.0,0.46336205843084793,295.198878359093,854.7769281854683
DAVAO ORIENTAL,2004.0,1,0.9342241883277892,26.102895736694336,1.942529320716858,3,Davao Region,142.59209383686192,19.09822723454804,452.04791236618786,9.82984862213128,97.52728646267767,0.0,0.0,280.5277362334595,937.4680035646442
DAVAO ORIENTAL,2007.0,0,0.9062950611114502,40.11040115356445,1.6147819757461548,3,Davao Region,271.4216672188354,17.78506219816378,278.95753010841366,44.96036175075032,164.23782998530712,0.0,0.0,660.5491439171196,1311.6027387716715
DAVAO ORIENTAL,2010.0,1,0.9048047065734864,71.7266616821289,1.036037802696228,3,Davao Region,285.6691669306463,24.597108170880503,276.15002878801795,66.13527556377959,97.73723727476904,0.0,0.0,996.6266971484944,1496.9935923100102
DAVAO ORIENTAL,2013.0,1,0.9094245433807372,77.60697937011719,1.0,3,Davao Region,364.1086913421567,20.258238538305314,438.0797602815618,57.12809545810459,116.57587092207113,0.0,0.0,1345.5082057016953,1919.7366129081693
DAVAO ORIENTAL,2016.0,0,0.8444353938102722,202.27639770507807,1.7393094301223757,3,Davao Region,608.8921983195136,21.61360719937977,837.5814609535411,207.07565319292098,283.9244797026725,0.0,0.0,1141.974395319282,2273.0457844518946
DAVAO ORIENTAL,2019.0,1,0.8516219854354858,252.63743591308597,1.0,3,Davao Region,701.7939511792758,24.668571101413647,1232.9096751413922,154.32297445468345,242.51542293988305,0.0,0.0,1408.55651714229,2923.5325401188497
DINAGAT ISLANDS,2007.0,0,0.995835781097412,0.8058562874794006,1.0,3,CARAGA,225.8739487381034,5.162249285344366,231.08751252797023,46.105924355105515,152.53705188670946,3.8809784663718845,7.551093819429912,994.3415706374415,1525.832680125354
DINAGAT ISLANDS,2010.0,0,0.9394258856773376,17.26447868347168,1.1483700275421145,3,CARAGA,139.22455775181496,9.40983614183229,103.01896021849207,46.76724369948604,162.6544357227644,5.147901445801056,0.0,663.1322461071504,1026.348015148765
DINAGAT ISLANDS,2013.0,1,0.8937294483184814,16.01873016357422,1.9732733964920044,3,CARAGA,557.2523663783322,24.972011200911975,592.6632167029835,214.1411323022408,449.56377448339936,17.217103357342683,0.0,1654.259709852579,2696.4867510957183
DINAGAT ISLANDS,2016.0,1,0.8509113192558289,28.31975555419922,1.0,3,CARAGA,426.95316781655316,17.384645466354737,854.2264612612186,383.02629998468313,392.8257288930241,26.862342688988242,0.0,2072.193520646423,3319.2456808450556
DINAGAT ISLANDS,2019.0,0,0.8950247168540955,19.84276962280273,1.898690938949585,3,CARAGA,553.3483921198655,0.29793731656964134,1272.4248900958773,301.8646050976597,613.7159972224007,40.32815860645591,0.0,2948.990521023876,4835.131229421986
EASTERN SAMAR,1995.0,0,0.8982605934143066,15.413583755493164,2.404783248901367,3,Eastern Visayas,0.0,0.0,222.3998385499807,0.0,103.72126882822369,0.0,0.0,94.86744776308096,527.5742897102785
EASTERN SAMAR,1998.0,0,0.94769686460495,11.35768222808838,2.7696468830108643,3,Eastern Visayas,82.58760928255145,6.013848758533976,543.2039855440505,11.536366637280624,126.98248059783955,0.1340810230308955,1.9059302239833131,331.4441360659501,905.6797006119524
EASTERN SAMAR,2001.0,0,0.9416776299476624,24.424999237060547,2.7935311794281006,3,Eastern Visayas,294.79689512766976,5.842699791370581,549.1327590003525,5.360538133276383,126.7868469234717,0.0,0.0,243.13261298163553,868.2843951915369
EASTERN SAMAR,2004.0,0,0.9607707858085632,13.609763145446776,2.129591703414917,3,Eastern Visayas,341.84639917208773,13.476618595410638,708.2077364450396,11.133672493908943,138.7861897702529,0.0,43.307964034343875,298.4430742538347,1004.501776735795
EASTERN SAMAR,2007.0,1,0.9521766304969788,21.77134895324707,1.1878955364227295,3,Eastern Visayas,384.56906333387025,17.85817270102798,302.34133282416593,31.831669709072404,171.61969702682424,0.0,41.96593239193423,436.79661304152194,1117.229360444105
EASTERN SAMAR,2010.0,0,0.8703451156616211,38.87152862548828,4.795588493347168,3,Eastern Visayas,473.9256916491718,0.0,373.63112912349237,59.05223819784305,338.93286835103106,0.0,0.0,616.9184711415777,1488.830187708976
EASTERN SAMAR,2013.0,1,0.9222053289413452,49.94269180297852,1.8818917274475095,3,Eastern Visayas,356.7405143398121,43.38258376491198,497.6726528865467,16.717622870368913,195.69774485571978,0.0,13.237912526879914,651.2046128444074,1344.5749993300642
EASTERN SAMAR,2016.0,1,0.93889319896698,63.29902267456055,1.594263792037964,3,Eastern Visayas,588.7291660416995,2.567984539749149,613.3695134855204,20.096833008772403,200.81989644571888,0.0,1.9755378456550328,944.2827925972498,1758.4722239526054
EASTERN SAMAR,2019.0,0,0.9456518292427064,72.82909393310547,1.7856383323669434,3,Eastern Visayas,403.71011629927597,0.0,600.9970173611466,10.068883576563849,213.24597773422653,0.0,0.0,1541.9644226196863,2356.2074023884165
GUIMARAS,1995.0,0,0.7226625680923462,22.646240234375,1.1891032457351685,3,Western Visayas,0.0,0.0,738.2853796980966,0.0,664.0554539552364,0.0,0.0,499.4656194390942,2795.3647510871115
GUIMARAS,1998.0,0,0.6747187376022339,132.45654296875,1.9025139808654783,3,Western Visayas,64.84172423611393,9.724859479399624,372.7617474864211,8.570085820353967,203.35671026197784,0.0,0.0,290.35385178321144,833.4200248712066
