feature,mean_pre,mean_post,diff,pct_change,ci_diff_lower,ci_diff_upper
dynasty_x_ira,0.22389447700000004,0.48019849000000003,0.256304013,114.47536198045651,0.07697753999999996,0.43542609000000004
dynasty_x_delta_pubwelf,0.12966259600000002,0.334912955,0.205250359,158.29573472368236,0.0796987412,0.3333572492
delta_health,0.17041418,0.3162873,0.14587312,85.59916786267434,0.02790697400000003,0.263839266
delta_educ,0.271982168,0.40123595,0.12925378199999998,47.52288833876784,-0.09272528800000002,0.34278133
dynasty_x_delta_educ,0.08722459899999999,0.18299315,0.09576855100000001,109.79534683788002,-0.013825102000000006,0.17546848299999998
dynasty_x_delta_health,0.06171388868000001,0.085905485,0.024191596319999994,39.19959807659942,-0.011832256,0.061747981960000003
delta_pubwelf,0.33558103800000005,0.318841465,-0.016739573000000063,-4.9882356582972545,-0.21139990200000008,0.17372792200000003
dynasty,0.06526445228000001,0.0125868725,-0.05267757978000001,-80.71404560939341,-0.15960855790000003,0.00849103244
enc_gol,0.37510508600000003,0.26125758,-0.11384750600000004,-30.350829740549035,-0.29055418200000005,0.03260560599999998
local_rev_pc,0.501256634,0.24116203,-0.26009460399999995,-51.888511065571244,-0.40247456,-0.116116742
ira_share,0.593948042,0.2850003,-0.30894774199999997,-52.015954284432176,-0.4722492100000001,-0.16076668800000005
