fold,accuracy,auc,precision,recall,f1
1,0.9347181008902077,0.9853617141644863,0.9146341463414634,0.9493670886075949,0.9316770186335404
2,0.9109792284866469,0.9701223392970795,0.9324324324324325,0.8734177215189873,0.9019607843137255
3,0.9166666666666666,0.9819948048251077,0.8771929824561403,0.9554140127388535,0.9146341463414634
4,0.9226190476190477,0.9790769668718643,0.9119496855345912,0.9235668789808917,0.9177215189873418
5,0.9136904761904762,0.9707504536882184,0.9266666666666666,0.8853503184713376,0.9055374592833876
