LGU_clean,election_year,dynasty,ira_share,local_rev_pc,enc_gol,income_class,region,health_mn_percap,educ_mn_percap,pubwelf_mn_percap,socserv_mn_percap,econdev_mn_percap,labor_mn_percap,housing_mn_percap,gov_mn_percap,totexp_mn_percap
ABRA,1992.0,0,0.9713652729988098,1.194074034690857,1.8491697311401367,3,CAR,0.0,0.0,51.18181573513247,0.0,135.51383202060552,0.0,0.0,106.99207672035432,406.2931333802122
ABRA,1995.0,1,0.971737265586853,3.0223870277404785,1.0989365577697754,3,CAR,0.0,0.0,99.238631512366,0.0,172.2171857133763,0.0,0.0,155.2827101631131,668.9123682248928
ABRA,1998.0,1,0.720106303691864,60.83515167236328,1.9435614347457888,3,CAR,121.28881124563202,1.7272099509225163,429.8647564913295,7.770623365643133,237.2843239950283,0.0,0.0,278.88142475809985,1404.5995158468695
ABRA,2001.0,1,0.7494106292724609,12.709433555603027,1.548922419548035,3,CAR,412.89199796582136,6.260876458942574,760.7769951057735,24.486223050502016,259.9126598458339,0.0,0.0,317.1378866708676,1634.0403806574532
ABRA,2004.0,1,0.7019723653793335,28.07851219177246,1.3217536211013794,3,CAR,577.2241079190776,8.678469474370853,998.3656883103562,23.966520868136122,465.0938953764547,0.0,0.0,388.49660460801454,2251.0230591850614
ABRA,2007.0,0,0.6864194273948669,27.39941024780273,1.6443742513656616,3,CAR,488.78764537871797,9.267439654636886,354.37370877591184,46.59701953244699,510.70291073974147,0.0,0.0,702.5310035503143,2036.9929191265828
ABRA,2010.0,1,0.6387047171592712,33.210941314697266,1.0463632345199585,3,CAR,628.795742061082,11.649955461139264,505.3121870375016,99.82464655964266,518.7776798726949,0.0,0.0,1476.0163110215694,2846.0301275977654
ABRA,2013.0,1,0.6478574275970459,40.51002502441406,1.2446894645690918,3,CAR,670.0697859943799,18.47477378832232,970.4107765276004,76.3421321615934,520.2953059916899,0.0,0.0,742.6530641269226,2312.775103068763
ABRA,2016.0,0,0.640135645866394,120.55709838867188,1.939278483390808,3,CAR,1315.415859140692,16.914978452288604,1435.7592166747,103.42838970534089,534.5012020840028,0.0,0.0,1825.0186191222151,3839.430531008997
ABRA,2019.0,1,0.9420928955078124,62.74435806274414,1.325655221939087,3,CAR,847.2077732210264,39.69347933652113,1531.1157432447694,152.51779225642807,1060.6866391841959,0.0,0.0,2098.3145858850025,4741.492411973687
AGUSAN DEL SUR,1995.0,0,0.623515248298645,95.56110382080078,1.8053345680236816,3,Northern Mindanao,0.0,0.0,113.5086292650517,0.0,80.98844179368439,0.0,0.0,112.14005627576361,549.3686684681413
AGUSAN DEL SUR,1998.0,1,0.880763828754425,36.94880294799805,1.8849235773086548,3,CARAGA,37.38443824742556,5.1778759961546195,251.1543691025598,3.469963070414591,81.46859055902283,0.9020766087577965,0.0,233.81465930989296,739.1540344089383
AGUSAN DEL SUR,2001.0,1,0.7959001660346985,24.53556060791016,1.5477304458618164,3,CARAGA,144.54892683658738,10.982811329635808,483.1255801794291,12.33204176763211,107.24166274386499,0.0,0.0,315.2618095052226,886.7708247947153
