outcome,bandwidth,ate,se,ci_lower,ci_upper
IRA share (post-election),0.03,-0.05196548811429404,0.043491565245799724,-0.13720895599606148,0.03327797976747342
IRA share (post-election),0.05,-0.027389160220184457,0.03160062498540068,-0.08932638519156978,0.03454806475120087
IRA share (post-election),0.07,-0.01227853222422631,0.028731356429269352,-0.06859199082559424,0.044034926377141625
