LGU_clean,election_year,incumbent_name,dynasty,ira_share,local_rev_pc,enc_gol,income_class,region,health_mn_post3,educ_mn_post3,pubwelf_mn_post3,socserv_mn_post3,econdev_mn_post3,labor_mn_post3,housing_mn_post3,gov_mn_post3,totexp_mn_post3,health_mn_pre3,educ_mn_pre3,pubwelf_mn_pre3,socserv_mn_pre3,econdev_mn_pre3,labor_mn_pre3,housing_mn_pre3,gov_mn_pre3,totexp_mn_pre3
RIZAL,2007.0,"YNARES, CASIMIRO III ALCANTARA",1,0.5602391362190247,383.81109619140625,1.0557533502578735,3,CALABARZON,40.10210927327474,99.24028015136719,59.923510233561196,52.915483474731445,211.8983917236328,0.0,0.13631200169523558,472.3298034667969,945.7462972005209,128.8710962931315,189.91631062825522,675.6143391927084,96.99758656819661,130.42574818929037,0.0,0.0,259.829350789388,960.6527709960938
RIZAL,2010.0,"YNARES, CASIMIRO III ALCANTARA",1,0.6720458269119263,615.4160766601562,1.3883432149887085,3,CALABARZON,150.58164978027344,103.58420817057292,226.888453801473,77.73931312561035,166.45734659830728,0.0,0.0,833.0034383138021,1336.0970052083333,80.20421854654948,117.78317769368489,269.8937021891276,94.98190212249756,177.34904988606772,0.0,0.12311866879463196,391.07432047526044,972.9273071289062
RIZAL,2013.0,"YNARES, REBECCA ALCANTARA",1,0.6517213582992554,793.0236206054688,1.2866288423538208,3,CALABARZON,207.1447982788086,30.24842898050944,308.0020751953125,13.552511850992838,88.15244801839192,0.0,0.7299597263336182,750.5363362630209,1156.7344970703125,70.12321472167969,106.77007548014323,252.93307749430338,76.02660274505615,214.8933308919271,0.0,0.013193332900603613,713.7046508789062,1190.6746419270833
RIZAL,2016.0,"YNARES, REBECCA ALCANTARA",1,0.626474142074585,1248.96337890625,1.1519755125045776,3,CALABARZON,470.392822265625,63.82861073811849,585.7926940917969,27.58075205485026,113.79556274414062,0.0,23.990500768025715,766.9552815755209,1470.0826416015625,190.24947357177734,42.0462449391683,198.8636328379313,14.52829360961914,94.62767283121745,0.0,0.7299597263336182,834.6876831054688,1240.5167236328125
RIZAL,2019.0,"YNARES, REBECCA ALCANTARA",1,0.6129523515701294,1861.1453857421875,1.113985538482666,3,CALABARZON,509.4853976567586,54.456338008244835,823.9631144205729,44.37662688891093,189.5491689046224,0.0,45.30955123901367,792.6648763020834,1806.1770833333333,382.1416422526042,54.44349670410156,461.10467529296875,20.10844357808431,93.92366536458333,0.0,4.411086400349935,702.0342610677084,1263.5796712239583
RIZAL,2022.0,"YNARES, NINA RICCI ALCANTARA",1,0.7010630965232849,2215.576904296875,1.1842948198318481,3,CALABARZON,,,,,,,,,,442.99917125701904,49.5652170976003,744.3095906575521,35.04434514045715,176.34133911132812,0.0,46.365657806396484,825.3806355794271,1746.4649251302083
ROMBLON,1995.0,"MADRID, JOSE MENDOZA",0,0.8819604516029358,6.929320812225342,1.698991060256958,3,MIMAROPA,0.0,0.0,50.97981389363607,0.0,16.821928024291992,0.0,0.0,16.745599110921223,96.10404459635417,0.0,0.0,20.73874161640803,0.0,12.195154507954916,0.0,0.0,11.420324643452963,49.21915372212728
ROMBLON,1998.0,"YLAGAN, PERPETUO B. ",0,0.9325478076934814,10.139836311340332,2.0231218338012695,3,MIMAROPA,17.274667104085285,0.3296666741371155,77.78677368164062,0.2850000063578288,34.01107851664225,0.0,0.0,39.647989908854164,157.98669942220053,0.0,0.0,41.822625478108726,0.0,13.99952507019043,0.0,0.0,10.579229354858398,74.98890177408855
ROMBLON,2001.0,"MADRONA, ELEANDRO JESUS F.",0,0.9426321983337402,8.151000022888184,1.4234741926193237,3,MIMAROPA,77.84500122070312,3.0486667156219482,160.8265635172526,2.2639999787012735,36.7619997660319,0.0,0.0,77.66889953613281,235.46956380208334,0.0,0.0,69.39851633707683,0.0,33.560323079427086,0.0,0.0,35.74376932779948,156.97615559895834
ROMBLON,2004.0,"YLAGAN, PERPETUO BARREDO",0,0.9540705680847168,11.21500015258789,2.5921123027801514,3,Mimaropa Region,80.82850392659505,2.235625227292379,171.50423685709634,2.57108211517334,37.34455871582031,0.0,0.0,85.86902109781902,282.15284729003906,70.49033482869466,2.2643333872159324,141.4306640625,1.6856666803359985,32.811667124430336,0.0,0.0,66.9903335571289,204.71332804361978
