LGU_clean,election_year,incumbent_name,dynasty,health_post3,educ_post3,pubwelf_post3,health_pre,educ_pre,pubwelf_pre,ira_share,local_rev_pc,enc_gol,income_class,region,matched_control_lgu,matched_control_year
ABRA,1995.0,"VALERA, VICENTE YSIDRO P.",1,0.0,0.0,19.44719918568929,0.0,0.0,7.405068506797154,0.971737265586853,3.0223870277404785,1.0989365577697754,3,CAR,KALINGA,1998.0
ABRA,1998.0,"VALERA, MA. ZITA CLAUSTRO",1,24.752644856770832,0.3524893522262573,87.72688547770183,0.0,0.0,7.066813945770264,0.720106303691864,60.83515167236328,1.9435614347457888,3,CAR,BENGUET,1998.0
ABRA,2001.0,"VALERA, VICENTE P.",1,87.7630844116211,1.3307931174834569,161.7084757486979,0.0,0.0,53.22232055664063,0.7494106292724609,12.709433555603027,1.548922419548035,3,CAR,APAYAO,2001.0
ABRA,2004.0,"VALERA, VICENTE P.",1,128.00233205159506,1.9244939982891085,221.39258321126303,82.26456451416016,0.8848159462213516,155.25762939453125,0.7019723653793335,28.07851219177246,1.3217536211013794,3,CAR,APAYAO,2001.0
ABRA,2010.0,"BERSAMIN, EUSTAQUIO PURUGGANAN",1,147.59911092122397,2.734628995259603,118.61344559987386,114.79141743977864,1.8016270001729329,107.79455312093098,0.6387047171592712,33.210941314697266,1.0463632345199585,3,CAR,APAYAO,2001.0
ABRA,2013.0,"BERSAMIN, EUSTAQUIO PURUGGANAN",1,159.8714141845703,4.407881498336792,231.52953084309897,133.18737284342447,2.431761105855306,159.37537638346353,0.6478574275970459,40.51002502441406,1.2446894645690918,3,CAR,ABRA,2007.0
ABRA,2019.0,"BERNOS, MARIA JOCELYN VALERA",1,210.9716796875,9.884470224380491,381.2784423828125,319.16994222005206,5.8430148760477705,349.1356913248698,0.9420928955078124,62.74435806274414,1.325655221939087,3,CAR,APAYAO,2019.0
AGUSAN DEL NORTE,2001.0,"AMANTE, MA. ANGELICA ROSEDEL M.",1,79.21876525878906,4.911719083786011,155.04244995117188,0.0,0.0,68.44318008422852,0.8825214505195618,24.241641998291016,1.7060596942901611,3,CARAGA,SURIGAO DEL NORTE,2001.0
AGUSAN DEL NORTE,2004.0,"AMANTE, ERLPE JOHN MALBAS",1,90.3401590983073,6.023196856180827,176.45850118001303,76.31055450439453,4.135044972101848,149.77447509765625,0.8529312014579773,46.48041534423828,1.9312349557876587,3,CARAGA,AGUSAN DEL SUR,2007.0
AGUSAN DEL NORTE,2007.0,"AMANTE, ERLPE JOHN MALBAS",1,103.3436991373698,6.692599773406982,82.77908070882161,85.46903737386067,6.429290135701497,164.8451131184896,0.8223384618759155,73.7529296875,1.683421015739441,3,CARAGA,AGUSAN DEL SUR,2007.0
AGUSAN DEL NORTE,2010.0,"AMANTE, ERLPE JOHN MALBAS",1,121.20426432291669,5.50476090113322,115.73641586303712,101.17522939046223,6.944760640462239,108.60221354166669,0.8800057172775269,60.4844970703125,1.242190957069397,3,CARAGA,DINAGAT ISLANDS,2010.0
AGUSAN DEL NORTE,2013.0,"AMANTE, MA. ANGELICA ROSEDEL M.",1,162.5146026611328,9.72693920135498,267.7010752360026,115.1118672688802,4.933977444966634,134.2731196085612,0.8599756360054016,85.57738494873047,1.0,3,CARAGA,DINAGAT ISLANDS,2010.0
AGUSAN DEL SUR,1998.0,"PLAZA, VALENTINA GALIDO",1,20.242581685384117,2.803668657938639,135.99275716145834,0.0,0.0,57.12270736694336,0.880763828754425,36.94880294799805,1.8849235773086548,3,CARAGA,SURIGAO DEL NORTE,2001.0
AGUSAN DEL SUR,2001.0,"PLAZA, ADOLPH EDWARD",1,81.88099924723308,6.221309185028076,273.6706949869792,0.0,0.0,77.52041880289714,0.7959001660346985,24.53556060791016,1.5477304458618164,3,CARAGA,AGUSAN DEL NORTE,1998.0
AGUSAN DEL SUR,2004.0,"PLAZA, ADOLPH EDWARD",1,89.95082728068034,8.705423990885416,395.7479756673177,74.4264907836914,6.381597836812337,255.33529154459637,0.8779965043067932,69.8139877319336,1.5462841987609863,3,CARAGA,AGUSAN DEL SUR,2007.0
AGUSAN DEL SUR,2013.0,"PLAZA, ADOLPH EDWARD",1,139.1456756591797,8.642898241678873,323.28672281901044,130.88792165120444,10.298961321512856,221.61761474609372,0.8488130569458008,173.14195251464844,1.5535906553268433,3,CARAGA,AGUSAN DEL SUR,2010.0
AGUSAN DEL SUR,2016.0,"PLAZA, ADOLPH EDWARD GALIDO",1,291.7291717529297,21.04165045420329,402.2413838704427,122.86710103352864,12.2871732711792,253.45109049479169,0.8680391311645508,230.2606964111328,1.0,3,CARAGA,DINAGAT ISLANDS,2010.0
AKLAN,2001.0,"MIRAFLORES, FLORENCIO T.",1,99.93937174479169,7.093760013580322,192.25865681966147,0.0,0.0,75.0030746459961,0.8988823890686035,27.644140243530277,1.4459803104400637,3,Western Visayas,AKLAN,1998.0
AKLAN,2007.0,"MARQUEZ, CARLITO S.",1,20.627127647399902,13.95136260986328,25.35379473368327,81.02562141418457,6.250999927520752,186.5095723470052,0.7050895690917969,153.78392028808594,2.3545081615448,3,Western Visayas,ANTIQUE,2010.0
AKLAN,2010.0,"MARQUEZ, CARLITO S.",1,49.9681879679362,14.786367098490397,49.99506870905558,25.42213757832845,10.126005172729492,64.29347229003906,0.6376474499702454,293.792724609375,1.2888436317443848,3,Western Visayas,ANTIQUE,2010.0
AKLAN,2016.0,"MIRAFLORES, FLORENCIO TUMBOCON",1,100.24553934733072,32.588162104288735,145.24964396158853,112.65604146321614,10.75446844100952,60.80194203058878,0.5633602738380432,642.0301513671875,1.842578768730164,3,Western Visayas,AKLAN,2013.0
AKLAN,2019.0,"MIRAFLORES, FLORENCIO TUMBOCON",1,92.56937646865843,3.4777873754501343,106.07643636067708,85.49826558430989,34.53319231669108,131.45166778564453,0.5895368456840515,746.6787109375,1.987940549850464,3,Western Visayas,AKLAN,2013.0
ALBAY,2001.0,"BICHARA, AL FRANCIS C.",1,75.37692260742188,13.436372756958008,261.6322072347005,0.0,0.0,97.0085906982422,0.8191326856613159,47.17499923706055,1.5764073133468628,3,Bicol Region,ALBAY,1998.0
ALBAY,2010.0,"SALCEDA, JOSE MA CLEMENTE SARTE",1,125.4245147705078,128.67760467529297,294.4720967610677,85.63743082682292,14.49922784169515,217.33346557617188,0.7041335105895996,175.73431396484375,1.0501995086669922,3,Bicol Region,ALBAY,2016.0
